DATE,FISCAL_YEAR,PRODUCT_CODE,VARIANT,PRODUCT,FORECAST_QUANTITY,gross_price,GROSS_PRICE_TOTAL
2020-09-01,2021,A2219150203,"Plus 1","AQ Master wireless x1 Ms",581,6.7301,3910.19
2020-09-01,2021,A2219150204,"Plus 2","AQ Master wireless x1 Ms",299,7.3526,2198.43
2020-09-01,2021,A2219150205,"Premium 1","AQ Master wireless x1 Ms",779,7.9813,6217.43
2020-09-01,2021,A2219150206,"Premium 2","AQ Master wireless x1 Ms",1100,8.3193,9151.23
2020-09-01,2021,A2319150301,"Standard 1","AQ Gamers Ms",166,8.8044,1461.53
2020-09-01,2021,A2319150302,"Standard 2","AQ Gamers Ms",1071,8.9901,9628.40
2020-09-01,2021,A2319150303,"Plus 1","AQ Gamers Ms",298,9.3977,2800.51
2020-09-01,2021,A2319150304,"Plus 2","AQ Gamers Ms",920,10.4573,9620.72
2020-09-01,2021,A2319150305,"Premium 1","AQ Gamers Ms",915,10.4370,9549.86
2020-09-01,2021,A2319150306,"Premium 2","AQ Gamers Ms",1310,10.8659,14234.33
2020-09-01,2021,A2419150401,"Standard 1","AQ Lite Ms",200,11.4829,2296.58
2020-09-01,2021,A2419150402,"Standard 2","AQ Lite Ms",210,11.2819,2369.20
2020-09-01,2021,A2419150403,"Plus 1","AQ Lite Ms",398,10.8925,4335.22
2020-09-01,2021,A2419150404,"Plus 2","AQ Lite Ms",481,11.6332,5595.57
2020-09-01,2021,A2419150405,"Premium 1","AQ Lite Ms",989,12.7423,12602.13
2020-09-01,2021,A2420150406,"Premium 2","AQ Lite Ms",152,12.2979,1869.28
2020-09-01,2021,A2520150501,"Standard 1","AQ Maxima Ms",1042,12.0689,12575.79
2020-09-01,2021,A2520150502,"Standard 2","AQ Maxima Ms",1242,14.5267,18042.16
2020-09-01,2021,A2520150503,"Plus 1","AQ Maxima Ms",435,14.1682,6163.17
2020-09-01,2021,A2520150504,"Plus 2","AQ Maxima Ms",961,14.2800,13723.08
2020-09-01,2021,A2520150505,"Premium 1","AQ Maxima Ms",320,15.1762,4856.38
2020-09-01,2021,A2520150506,"Premium 2","AQ Maxima Ms",664,14.5677,9672.95
2020-09-01,2021,A2620150601,"Standard 1","AQ Qwerty Ms",784,14.9013,11682.62
2020-09-01,2021,A2620150602,"Standard 2","AQ Qwerty Ms",711,15.8102,11241.05
2020-09-01,2021,A2620150603,"Plus 1","AQ Qwerty Ms",126,15.9792,2013.38
2020-09-01,2021,A2620150604,"Plus 2","AQ Qwerty Ms",204,16.5491,3376.02
2020-09-01,2021,A2620150605,"Premium 1","AQ Qwerty Ms",740,16.5882,12275.27
2020-09-01,2021,A2620150606,"Premium 2","AQ Qwerty Ms",981,16.7850,16466.09
2020-09-01,2021,A2720150701,"Standard 1","AQ Trigger Ms",309,17.0917,5281.34
2020-09-01,2021,A2721150702,"Standard 2","AQ Trigger Ms",1214,17.2368,20925.48
2020-09-01,2021,A2721150703,"Plus 1","AQ Trigger Ms",959,16.9353,16240.95
2020-09-01,2021,A2721150704,"Plus 2","AQ Trigger Ms",453,19.5860,8872.46
2020-09-01,2021,A2721150705,"Premium 1","AQ Trigger Ms",412,19.4042,7994.53
2020-09-01,2021,A2721150706,"Premium 2","AQ Trigger Ms",1304,20.0537,26150.02
2020-09-01,2021,A2821150801,"Standard 1","AQ Lumina Ms",714,21.7118,15502.23
2020-09-01,2021,A2918150101,"Standard 1","AQ Master wired x1",201,6.8991,1386.72
2020-09-01,2021,A2918150102,"Standard 2","AQ Master wired x1",478,7.5979,3631.80
2020-09-01,2021,A2918150103,"Plus 1","AQ Master wired x1",656,7.7693,5096.66
2020-09-01,2021,A2918150104,"Plus 2","AQ Master wired x1",580,8.9514,5191.81
2020-09-01,2021,A2918150105,"Premium 1","AQ Master wired x1",507,9.4650,4798.76
2020-09-01,2021,A2918150106,"Premium 2","AQ Master wired x1",97,10.4188,1010.62
2020-09-01,2021,A3018150201,"Standard 1","AQ Master wireless x1",213,10.7955,2299.44
2020-09-01,2021,A3018150202,"Standard 2","AQ Master wireless x1",436,11.0524,4818.85
2020-09-01,2021,A3018150203,"Plus 1","AQ Master wireless x1",306,12.3739,3786.41
2020-09-01,2021,A3019150204,"Plus 2","AQ Master wireless x1",389,11.6011,4512.83
2020-09-01,2021,A3019150205,"Premium 1","AQ Master wireless x1",383,12.0509,4615.49
2020-09-01,2021,A3019150206,"Premium 2","AQ Master wireless x1",364,13.0018,4732.66
2020-09-01,2021,A3119150301,"Standard 1","AQ Gamers ",375,13.5061,5064.79
2020-09-01,2021,A3119150302,"Standard 2","AQ Gamers ",365,15.3071,5587.09
2020-09-01,2021,A3119150303,"Plus 1","AQ Gamers ",643,16.2407,10442.77
2020-09-01,2021,A3120150304,"Plus 2","AQ Gamers ",88,16.3792,1441.37
2020-09-01,2021,A3120150305,"Premium 1","AQ Gamers ",406,16.3218,6626.65
2020-09-01,2021,A3120150306,"Premium 2","AQ Gamers ",419,19.3003,8086.83
2020-09-01,2021,A3220150401,"Standard 1","AQ Lite",249,18.4943,4605.08
2020-09-01,2021,A3220150402,"Standard 2","AQ Lite",356,18.7947,6690.91
2020-09-01,2021,A3220150403,"Plus 1","AQ Lite",279,18.5844,5185.05
2020-09-01,2021,A3220150404,"Plus 2","AQ Lite",237,18.4219,4365.99
2020-09-01,2021,A3220150405,"Premium 1","AQ Lite",284,18.9415,5379.39
2020-09-01,2021,A3220150406,"Premium 2","AQ Lite",634,20.0066,12684.18
2020-09-01,2021,A3320150501,"Standard 1","AQ Maxima",123,20.3908,2508.07
2020-09-01,2021,A3320150502,"Standard 2","AQ Maxima",421,21.6988,9135.19
2020-09-01,2021,A3320150503,"Plus 1","AQ Maxima",371,20.8733,7743.99
2020-09-01,2021,A3320150504,"Plus 2","AQ Maxima",110,22.1341,2434.75
2020-09-01,2021,A3320150505,"Premium 1","AQ Maxima",593,23.0844,13689.05
2020-09-01,2021,A3320150506,"Premium 2","AQ Maxima",429,23.7678,10196.39
2020-09-01,2021,A3420150601,"Standard 1","AQ Qwerty",257,24.5690,6314.23
2020-09-01,2021,A3420150602,"Standard 2","AQ Qwerty",158,23.9726,3787.67
2020-09-01,2021,A3421150603,"Plus 1","AQ Qwerty",435,26.9507,11723.55
2020-09-01,2021,A3421150604,"Plus 2","AQ Qwerty",123,27.4152,3372.07
2020-09-01,2021,A3421150605,"Premium 1","AQ Qwerty",590,29.8692,17622.83
2020-09-01,2021,A3421150606,"Premium 2","AQ Qwerty",436,29.6709,12936.51
2020-09-01,2021,A3521150701,"Standard 1","AQ Trigger",169,29.3872,4966.44
2020-09-01,2021,A3521150702,"Standard 2","AQ Trigger",371,30.3414,11256.66
2020-09-01,2021,A3521150703,"Plus 1","AQ Trigger",385,31.7665,12230.10
2020-09-01,2021,A3521150704,"Plus 2","AQ Trigger",159,33.6246,5346.31
2020-09-01,2021,A3521150705,"Premium 1","AQ Trigger",538,34.5114,18567.13
2020-09-01,2021,A3718150101,Standard,"AQ LION x1",111,16.5127,1832.91
2020-09-01,2021,A3718150102,"Plus 1 ","AQ LION x1",11,16.1015,177.12
2020-09-01,2021,A3718150103,"Plus 2","AQ LION x1",86,17.5697,1510.99
2020-09-01,2021,A3718150105,Premium,"AQ LION x1",48,18.0312,865.50
2020-09-01,2021,A3818150201,Standard,"AQ LION x2",50,17.2648,863.24
2020-09-01,2021,A3818150202,"Plus 1 ","AQ LION x2",53,17.5197,928.54
2020-09-01,2021,A3819150203,"Plus 2","AQ LION x2",26,18.4533,479.79
2020-09-01,2021,A3819150204,"Plus 3","AQ LION x2",30,21.1942,635.83
2020-09-01,2021,A3819150205,Premium,"AQ LION x2",75,21.6066,1620.50
2020-09-01,2021,A3920150301,Standard,"AQ LION x3",31,22.1454,686.51
2020-09-01,2021,A3920150302,"Plus 1 ","AQ LION x3",10,23.1520,231.52
2020-09-01,2021,A3920150303,"Plus 2","AQ LION x3",25,25.4670,636.68
2020-09-01,2021,A3920150304,"Plus 3","AQ LION x3",80,25.0442,2003.54
2020-09-01,2021,A3920150305,Premium,"AQ LION x3",41,27.4546,1125.64
2020-09-01,2021,A4020150401,Standard,"AQ Mx NB",55,26.9302,1481.16
2020-09-01,2021,A4020150402,"Plus 1 ","AQ Mx NB",91,28.4500,2588.95
2020-09-01,2021,A4021150403,"Plus 2","AQ Mx NB",61,29.9423,1826.48
2020-09-01,2021,A4021150404,"Plus 3","AQ Mx NB",67,28.5800,1914.86
2020-09-01,2021,A4021150405,Premium,"AQ Mx NB",17,31.7029,538.95
2020-09-01,2021,A4118110105,"Plus Blue","AQ Aspiron",19,182.8932,3474.97
2020-09-01,2021,A4118110106,"Plus Red","AQ Aspiron",18,187.7533,3379.56
2020-09-01,2021,A4118110107,"Premium Black","AQ Aspiron",18,195.7721,3523.90
2020-09-01,2021,A4218110201,"Standard Grey","AQ Digit",33,200.2732,6609.02
2020-09-01,2021,A4218110202,"Standard Blue","AQ Digit",18,215.9341,3886.81
2020-09-01,2021,A4218110203,"Standard Red","AQ Digit",25,236.8486,5921.22
2020-09-01,2021,A4218110204,"Plus Grey","AQ Digit",19,232.1038,4409.97
2020-09-01,2021,A4218110205,"Plus Blue","AQ Digit",29,240.1403,6964.07
2020-09-01,2021,A4218110206,"Plus Red","AQ Digit",12,237.0183,2844.22
2020-09-01,2021,A4218110207,"Premium Black","AQ Digit",29,249.1303,7224.78
2020-09-01,2021,A4218110208,"Premium Misty Green","AQ Digit",26,243.0414,6319.08
2020-09-01,2021,A4318110301,"Standard Grey","AQ Velocity",28,264.7000,7411.60
2020-09-01,2021,A4319110302,"Standard Blue","AQ Velocity",13,267.2091,3473.72
2020-09-01,2021,A4319110303,"Standard Red","AQ Velocity",18,261.2305,4702.15
2020-09-01,2021,A4319110304,"Plus Grey","AQ Velocity",19,267.0636,5074.21
2020-09-01,2021,A4319110305,"Plus Blue","AQ Velocity",8,277.8079,2222.46
2020-09-01,2021,A4319110306,"Plus Red","AQ Velocity",15,275.8194,4137.29
2020-09-01,2021,A4419110401,"Standard Grey","AQ Elite",5,271.3471,1356.74
2020-09-01,2021,A4419110402,"Standard Blue","AQ Elite",21,281.9504,5920.96
2020-09-01,2021,A4419110403,"Standard Red","AQ Elite",12,288.0503,3456.60
2020-09-01,2021,A4419110404,"Plus Grey","AQ Elite",24,286.8973,6885.54
2020-09-01,2021,A4419110405,"Plus Blue","AQ Elite",15,291.2071,4368.11
2020-09-01,2021,A4419110406,"Plus Red","AQ Elite",26,287.5666,7476.73
2020-09-01,2021,A4419110407,"Premium Black","AQ Elite",22,287.4934,6324.85
2020-09-01,2021,A4419110408,"Premium Misty Green","AQ Elite",26,297.0277,7722.72
2020-09-01,2021,A4519110501,"Standard Grey","AQ Gen X",12,311.8396,3742.08
2020-09-01,2021,A4519110502,"Standard Blue","AQ Gen X",20,300.3378,6006.76
2020-09-01,2021,A4519110503,"Standard Red","AQ Gen X",14,306.9189,4296.86
2020-09-01,2021,A4520110504,"Plus Grey","AQ Gen X",23,341.7343,7859.89
2020-09-01,2021,A4520110505,"Plus Blue","AQ Gen X",18,325.2156,5853.88
2020-09-01,2021,A4520110506,"Plus Red","AQ Gen X",10,325.2561,3252.56
2020-09-01,2021,A4520110507,"Premium Black","AQ Gen X",6,322.9426,1937.66
2020-09-01,2021,A4520110508,"Premium Misty Green","AQ Gen X",17,327.0930,5560.58
2020-09-01,2021,A4620110601,"Standard Grey","AQ Gen Y",36,347.2474,12500.91
2020-09-01,2021,A4620110602,"Standard Blue","AQ Gen Y",32,346.6886,11094.04
2020-09-01,2021,A4620110603,"Standard Red","AQ Gen Y",26,366.0459,9517.19
2020-09-01,2021,A4620110604,"Plus Grey","AQ Gen Y",25,353.0982,8827.46
2020-09-01,2021,A4620110605,"Plus Blue","AQ Gen Y",22,349.2525,7683.56
2020-09-01,2021,A4620110606,"Plus Red","AQ Gen Y",29,348.5375,10107.59
2020-09-01,2021,A4620110607,"Premium Black","AQ Gen Y",27,347.8030,9390.68
2020-09-01,2021,A4620110608,"Premium Misty Green","AQ Gen Y",20,363.0630,7261.26
2020-09-01,2021,A4720110701,"Standard Grey","AQ GEN Z",24,367.7335,8825.60
2020-09-01,2021,A4720110702,"Standard Blue","AQ GEN Z",7,371.4027,2599.82
2020-09-01,2021,A4721110703,"Standard Red","AQ GEN Z",11,361.6496,3978.15
2020-09-01,2021,A4721110704,"Plus Grey","AQ GEN Z",28,380.2153,10646.03
2020-09-01,2021,A4721110705,"Plus Blue","AQ GEN Z",9,377.4069,3396.66
2020-09-01,2021,A4918110101,"Standard Grey","AQ BZ 101",35,419.1936,14671.78
2020-09-01,2021,A4918110102,"Standard Blue","AQ BZ 101",39,451.4881,17608.04
2020-09-01,2021,A4918110103,"Premium Black","AQ BZ 101",16,428.1451,6850.32
2020-09-01,2021,A4918110104,"Premium Misty Green","AQ BZ 101",16,460.2805,7364.49
2020-09-01,2021,A5018110201,"Standard Grey","AQ BZ Compact",41,451.7049,18519.90
2020-09-01,2021,A5018110202,"Standard Blue","AQ BZ Compact",15,462.5568,6938.35
2020-09-01,2021,A5018110203,"Standard Red","AQ BZ Compact",13,452.1420,5877.85
2020-09-01,2021,A5018110204,"Plus Grey","AQ BZ Compact",13,447.7337,5820.54
2020-09-01,2021,A5018110205,"Plus Blue","AQ BZ Compact",7,486.1763,3403.23
2020-09-01,2021,A5018110206,"Plus Red","AQ BZ Compact",23,475.5544,10937.75
2020-09-01,2021,A5018110207,"Premium Black","AQ BZ Compact",35,475.1904,16631.66
2020-09-01,2021,A5019110208,"Premium Misty Green","AQ BZ Compact",26,467.3047,12149.92
2020-09-01,2021,A5119110301,"Standard Grey","AQ BZ Gen Y",9,479.0441,4311.40
2020-09-01,2021,A5119110302,"Standard Blue","AQ BZ Gen Y",24,474.3132,11383.52
2020-09-01,2021,A5119110303,"Standard Red","AQ BZ Gen Y",33,474.3154,15652.41
2020-09-01,2021,A5119110305,"Plus Blue","AQ BZ Gen Y",21,483.3813,10151.01
2020-09-01,2021,A5119110306,"Plus Red","AQ BZ Gen Y",34,486.4857,16540.51
2020-09-01,2021,A5119110307,"Premium Black","AQ BZ Gen Y",28,516.4580,14460.82
2020-09-01,2021,A5119110308,"Premium Misty Green","AQ BZ Gen Y",19,512.5811,9739.04
2020-09-01,2021,A5219110401,"Standard Grey","AQ BZ Gen Z",27,506.9644,13688.04
2020-09-01,2021,A5219110402,"Standard Blue","AQ BZ Gen Z",11,490.1582,5391.74
2020-09-01,2021,A5219110403,"Standard Red","AQ BZ Gen Z",10,525.8042,5258.04
2020-09-01,2021,A5219110405,"Plus Blue","AQ BZ Gen Z",25,521.2603,13031.51
2020-09-01,2021,A5219110406,"Plus Red","AQ BZ Gen Z",26,550.4597,14311.95
2020-09-01,2021,A5219110407,"Premium Black","AQ BZ Gen Z",24,545.5931,13094.23
2020-09-01,2021,A5220110408,"Premium Misty Green","AQ BZ Gen Z",25,533.0397,13325.99
2020-09-01,2021,A5318110103,"Standard Black","AQ Gamer 1",6,584.9722,3509.83
2020-09-01,2021,A5318110104,"Plus Firey Red","AQ Gamer 1",7,586.3824,4104.68
2020-09-01,2021,A5318110105,"Plus Cool Blue","AQ Gamer 1",3,551.3303,1653.99
2020-09-01,2021,A5318110106,"Plus Black","AQ Gamer 1",7,565.8747,3961.12
2020-09-01,2021,A5318110107,"Premium Black","AQ Gamer 1",14,571.6489,8003.08
2020-09-01,2021,A5318110108,"Premium Misty Green","AQ Gamer 1",11,579.6609,6376.27
2020-09-01,2021,A5419110201,"Standard Firey Red","AQ Gamer 2",3,585.0003,1755.00
2020-09-01,2021,A5419110202,"Standard Cool Blue","AQ Gamer 2",10,567.9271,5679.27
2020-09-01,2021,A5419110203,"Standard Black","AQ Gamer 2",16,595.5711,9529.14
2020-09-01,2021,A5419110204,"Plus Firey Red","AQ Gamer 2",5,602.9200,3014.60
2020-09-01,2021,A5419110205,"Plus Cool Blue","AQ Gamer 2",6,570.7578,3424.55
2020-09-01,2021,A5419110206,"Plus Black","AQ Gamer 2",19,601.6398,11431.16
2020-09-01,2021,A5419110207,"Premium Black","AQ Gamer 2",4,599.2302,2396.92
2020-09-01,2021,A5419110208,"Premium Misty Green","AQ Gamer 2",17,608.4070,10342.92
2020-09-01,2021,A5519110301,"Standard Firey Red","AQ Gamer 3",6,589.7411,3538.45
2020-09-01,2021,A5519110302,"Standard Cool Blue","AQ Gamer 3",14,605.8642,8482.10
2020-09-01,2021,A5519110303,"Standard Black","AQ Gamer 3",4,604.2721,2417.09
2020-09-01,2021,A5519110304,"Plus Firey Red","AQ Gamer 3",11,597.7704,6575.47
2020-09-01,2021,A5520110305,"Plus Cool Blue","AQ Gamer 3",12,632.4885,7589.86
2020-09-01,2021,A5520110306,"Plus Black","AQ Gamer 3",12,639.6816,7676.18
2020-09-01,2021,A5520110307,"Premium Black","AQ Gamer 3",16,609.7926,9756.68
2020-09-01,2021,A5520110308,"Premium Misty Green","AQ Gamer 3",10,590.1159,5901.16
2020-09-01,2021,A5620110401,"Standard Firey Red","AQ Smash 1",12,642.0698,7704.84
2020-09-01,2021,A5620110402,"Standard Cool Blue","AQ Smash 1",15,593.8297,8907.45
2020-09-01,2021,A5621110403,"Standard Black","AQ Smash 1",17,631.1855,10730.15
2020-09-01,2021,A5621110404,"Plus Firey Red","AQ Smash 1",18,639.9614,11519.31
2020-09-01,2021,A5621110405,"Plus Cool Blue","AQ Smash 1",9,601.8173,5416.36
2020-09-01,2021,A5621110406,"Plus Black","AQ Smash 1",6,644.3777,3866.27
2020-09-01,2021,A5621110407,"Premium Black","AQ Smash 1",4,655.7782,2623.11
2020-09-01,2021,A5621110408,"Premium Misty Green","AQ Smash 1",7,657.2525,4600.77
2020-09-01,2021,A5721110501,"Standard Firey Red","AQ Smash 2",9,649.6929,5847.24
2020-09-01,2021,A5721110502,"Standard Cool Blue","AQ Smash 2",21,627.9938,13187.87
2020-09-01,2021,A5721110503,"Standard Black","AQ Smash 2",17,678.3035,11531.16
2020-09-01,2021,A5721110504,"Plus Firey Red","AQ Smash 2",4,655.8348,2623.34
2020-09-01,2021,A5721110505,"Plus Cool Blue","AQ Smash 2",7,674.4272,4720.99
2020-09-01,2021,A5721110506,"Plus Black","AQ Smash 2",14,720.5460,10087.64
2020-09-01,2021,A5820110101,"Standard 1","AQ BZ Allin1",16,681.3022,10900.84
2020-09-01,2021,A5820110102,"Standard 2","AQ BZ Allin1",15,697.5541,10463.31
2020-09-01,2021,A5820110103,"Standard 3","AQ BZ Allin1",22,735.1465,16173.22
2020-09-01,2021,A5820110104,"Plus 1","AQ BZ Allin1",11,690.4971,7595.47
2020-09-01,2021,A5820110105,"Plus 2","AQ BZ Allin1",25,709.3926,17734.82
2020-09-01,2021,A5820110106,"Plus 3","AQ BZ Allin1",7,692.5242,4847.67
2020-09-01,2021,A5820110107,"Premium 1","AQ BZ Allin1",12,737.6775,8852.13
2020-09-01,2021,A5821110108,"Premium 2","AQ BZ Allin1",23,746.7388,17174.99
2020-09-01,2021,A6018110101,"Standard 1","AQ Home Allin1",4,800.4577,3201.83
2020-09-01,2021,A6018110102,"Standard 2","AQ Home Allin1",5,764.0542,3820.27
2020-09-01,2021,A6018110103,"Standard 3","AQ Home Allin1",3,770.9789,2312.94
